"Initiated payment process.","Betaalproces gestart."
"You are redirected to the payment gateway in a few seconds.","U wordt in enkele seconden doorgestuurd naar de betaalpagina."
"Payment Status: Success.","Betaaltatus: succes."
"Response Code %s: %s.","Antwoordcode %s: %s."
"Selected currency (%s) is not compatible with this payment method.","De gekozen valuta (%s) is niet compatibel met deze betaalwijze."
"Payment request failed. Please contact the merchant.","Betalingsverzoek mislukt. Contacteer de verkoper."
"Order %s","Bestelling %s"
"Automatic invoice.","Automatische factuur."
"Payment failed. Please try again.","Betaling mislukt. Probeer a.u.b. opnieuw."
"Transaction ID: %s","Transactie ID: %s"
"Issuer","Bank"
"--Please Select--","--Selecteer--"
"You will be redirected to the payment gateway after placing an order.","U wordt doorgestuurd naar de betaalpagina na het plaatsen van een bestelling."
"Use Base Currency","Gebruik basisvaluta"
"Disable to use currency from user session.","Uitschakelen om de valuta van de gebruiker te hanteren."
"Pending Payment Status","Nog Niet Betaald Status"
"Processing Order Status","In Verwerking Status"
"Test Mode","Testmodus"
"Debug Mode","Debug modus"
"See database table <em>omnikassa_api_debug</em>.","Zie database tabel <em>omnikassa_api_debug</em>."
"Send Order Email","Verstuur bestelling email"
"Create Invoice","Factuur aanmaken"
"Send Invoice Email","Verstuur factuur email"
"Morningtime TargetPay Settings","Morningtime TargetPay Configuratie"
"TargetPay Sub Account (layoutcode)","TargetPay Sub Account (layoutcode)"